ASSEMBLY_ID,COMPONENT_ID,ARGUMENT,ARGUMENT_ORDER,BLANK
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn|110-QMCO-POLSPLY,MaintainInventory,25, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn|110-QMCO-POLSPLY,PackagedPOL,26, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn|110-QMCO-POLSPLY,StrategicTransportation,27, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn|110-QMCO-POLSPLY, OffsetDays=7,28, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn|110-QMCO-POLSPLY,OriginFile=GEOLOC-LQCN.xml,29, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn|1-14-CAVSQDN, +AmmunitionInventory,1, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn|1-14-CAVSQDN, +BulkPOLInventory,2, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn|1-14-CAVSQDN, +ConsumableInventory,3, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn|1-14-CAVSQDN, +PackagedPOLInventory,4, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn|1-14-CAVSQDN, -DLAInventoryManager,5, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn|1-14-CAVSQDN, +PrototypeProvider,6, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn|1-14-CAVSQDN,icisMEI.q,7, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn|1-14-CAVSQDN, +PrototypeProvider,8, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn|1-14-CAVSQDN,icisParts.q,9, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn|1-14-CAVSQDN, BulkPOL,10, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn|1-14-CAVSQDN, Consumable,11, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn|1-14-CAVSQDN, PackagedPOL,12, 
3ID-135-CMT,3ID-135-CMT|plugin|mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn|1-14-CAVSQDN,Ammunition,13, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn|1-14-CAVSQDN,default_allocation_rules.xml,14, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn|1-14-CAVSQDN,forward.xml,15, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn|1-14-CAVSQDN, uic='WJHJAA',16, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn|1-14-CAVSQDN,fdm_all_aggregate_assets.q,17, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn|1-14-CAVSQDN,InventoryPolicy-ARBN.ldm.xml,18, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn|1-14-CAVSQDN,Ammunition,19, 
3ID-135-CMT,3ID-135-CMT|plugin|org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn|1-14-CAVSQDN,BulkPOL,20, 
