TI_ID,SCL_CD,TI_NM,TI_CGO_CPCTY_QY,TI_BLCK_BRC_SRC_ID,TI_SUTBLTY_ID,JDL_RCRD_STAT_CD,JDL_RCRD_CHNG_DT,JDL_RCRD_CHNGD_BY_CD,LEAD_NSN,FUEL_BURNER,BLANK
W93995,,TRAILER ACFT MAINT,0,8068,,, 2000-01-12 00:00:00,JDL,,NO, 
W95537,,TRAILER CARGO 3/4 TON,1500,6063,,, 2000-01-12 00:00:00,JDL,,NO, 
W95811,,TRAILER CARGO 1-1/2 T,3000,6063,,, 2000-01-12 00:00:00,JDL,,NO, 
W98825,,TRAILER TANK WATER,3700,6063,,, 2000-01-12 00:00:00,JDL,,NO, 
X23227,,TRANSPORTER AIRMOBILE,5000,M988,,, 2000-01-12 00:00:00,JDL,,NO, 
X40009,,TRK CARGO 2-1/2-TON,5000,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X40077,,TRK CGO D/S 2-1/2-TON,5000,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X40146,,TRUCK CARGO 2-1/2-TON,5000,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X40283,,TRK CGO 2-1/2T XLWB,5000,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X40420,,TRK CGO 2-1/2T XLWB,5000,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X40794,,TRK CGO D/S 5 TON,10000,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X40831,,TRK CGO 5 TON LWB,10000,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X40931,,TRK CGO D/S 5 TON,10000,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X40968,,TRK CGO 5 TON LWB,10000,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X41105,,TRK CGO 5 TON XLWB,10000,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X43708,,TRUCK DUMP 5 TON,10000,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X44403,7W,TRUCK DUMP 20 TON DED,40000,8087,,, 2000-01-12 00:00:00,JDL,,YES, 
X48914,,TRK LIFT FRK RT 3 T,0,8003,,, 2000-01-12 00:00:00,JDL,,YES, 
X49051,,TRK LIFT FRK RT 5 T,0,8003,,, 2000-01-12 00:00:00,JDL,,YES, 
X57271,,TRUCK TANK FS 2-1/2 T,0,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X59326,,TRUCK TRACTOR 5 TON,0,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X59463,,TRUCK TRACTOR 5 TON,0,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X62237,,TRUCK VAN EXP 5-TON,10000,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X62271,,TRUCK VAN EXP 5-TON,10000,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X62340,,TRK VAN SHOP 2-1/2 TON,5000,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X62477,,TRK VAN SHOP 2-1/2 TON,5000,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
X63299,,TRUCK WRECKER 5 TON,100,M988,,, 2000-01-12 00:00:00,JDL,,YES, 
Y48323,,WELDING SHOP TLR MTD,0,8050,,, 2000-01-12 00:00:00,JDL,,NO, 
Z12353,,SMALL EXTENSION NODE SWITCH,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
Z13713,,PWR PLANT TRLR MTD,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
Z24079,,SWITCHING GROUP,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
Z36068,,TRAILER CARGO 2 1/2T,5000,,,, 2000-01-12 00:00:00,JDL,,NO, 
Z36272,,TLR CGO HIMOB 3/4-TON,2000,,,, 2000-01-12 00:00:00,JDL,,NO, 
Z43728,,MOB INTERGTED TAC TML,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
Z62630,,TRUCK UTILITY EXP CAP,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
Z71517,,OPERATIONS GROUP,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
Z90381,,TOWING DEVICE,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
Z90712,,TRLR CGO MTV W/DPSIDE,10000,8000,,, 2000-01-12 00:00:00,JDL,,NO, 
Z94047,,TRUCK TANK,0,8000,,, 2000-01-12 00:00:00,JDL,,NO, 
Z94560,,TRUCK VAN: EXPANSIBLE,0,8000,,, 2000-01-12 00:00:00,JDL,,NO, 
