TID_ID,TI_ID,SHPPNG_CNFGRTN_CD,CGO_TP_CD,CGO_XTNT_CD,CGO_CNTZN_CD,MATERIEL_ITEM_IDENTIFIER,TID_VLDTN_CD,TYPE_PACK_CODE,TID_RDBL_CD,FTY_CD,TID_PRFNC_CD,TID_LG_DM,TID_WDTH_DIM,TID_EQ_TY_CD,TID_HT_DM,TID_WT,TID_VL,TID_CGO_CPCTY_QY,TID_MAX_LDED_HT_DM,TID_HVY_LFT_CD,TID_AR_CGO_LD_CD,TID_CB_DM,TID_MN_GND_CLNC_DM,TID_FTPRNT_AR,TID_PLZTN_CD,TID_CGO_CMPT_LG_DM,TID_CGO_CMPT_WD_DM,TID_CGO_CMPT_HT_DM,TID_CGOCMPBD_HT_DM,TID_CGO_BED_HT_DM,TID_VNTG_CD,TID_WHL_BS_DM,TID_TLSCPD_LG_DM,TID_EMTY_LD_CLS_ID,TID_LDED_LD_CLS_ID,TID_MDL_ID,TID_TRLR_TNG_LG_DM,TID_CRAF_RQMT_TX,BLANK
 01,T13152,D,R,1,D, 4940002949516,,,R,,,360,98,4,128,33260,2614,,128,C,,0,0,75,N,0,0,0,0,0,,0,,20,0020,MILS45537,,, 
 01,T13168,B,A,0,D, 2350010871095,,,N,,,387,144,D,217,123780,6999,,0,F,,193,17,30,N,0,0,0,0,0,,180,,0,0000,M1A1 120MM,,, 
 01,T16988,B,R,2,D, 3220002708630,,,R,,,172,85,7,99,5680,838,,0,A,,128,0,0,N,0,0,0,0,0,,0,,3,0003,S/E WW BM,,, 
 01,T30377,B,R,2,B, 4940010365784,,,R,,,151,79,6,76,2860,525,,0,A,,99,0,0,N,0,0,0,0,0,,0,,2,0002,ADC 1000,,, 
 01,T33786,D,A,2,D, 2420012058636,,,N,,,211,94,5,99,15850,1137,,0,B,,103,17,0,N,0,0,0,0,0,,0,,0,0000,HMMH,,, 
 01,T38844,D,R,2,D, 2310011112274,,,R,,,204,86,3,101,7500,1026,,0,A,,95,16,150,N,0,0,0,0,0,,130,,3,0004,M997,,, 
 01,T39518,B,R,1,D, 2320010970260,,,R,,,401,140,4,112,38800,3639,,112,C,,210,16,507,N,216,90,45,67,67,,210,,23,0035,M977 WWN,,, 
 01,T39586,B,R,1,D, 2320011007673,,,R,,,400,140,4,112,39420,3630,,112,C,,214,16,518,N,216,92,45,67,67,,210,,23,0035,M985,,, 
 01,T39654,B,R,1,D, 2320010970261,,,R,,,400,140,4,112,40220,3630,,112,C,,0,16,518,N,216,92,45,67,67,,210,,17,0035,M985 WWN,,, 
 01,T40999,B,R,1,D, 2320013042278,,,R,,,431,106,4,128,49960,3385,,128,K,,196,41,721,N,227,90,61,67,67,,224,,29,0049,M1075,,, 
 01,T41067,B,R,1,D, 2320013042277,,,R,,,431,106,4,128,55010,3385,,128,K,,193,41,721,N,227,90,61,67,67,,224,,32,0052,M1074,,, 
 01,T41135,B,R,1,D, 2320013601895,,,R,,,278,96,4,112,23463,1730,,112,C,,127,0,454,N,168,88,53,59,59,,0,,14,0020,M1083 W/WN,,, 
 01,T42725,B,R,1,D, 3895010284391,,,R,,,375,108,8,142,37540,3329,,0,C,,0,12,0,N,0,0,0,0,0,,211,,45,0022,M919,,, 
 01,T45465,B,R,2,D, 2330011094258,,,R,,,266,96,7,66,8060,976,,66,A,,134,0,264,N,206,92,24,45,45,,86,,5,0018,M989 (HEMAT),,, 
 01,T48941,B,A,0,D, 3930010823758,,,N,,,412,240,5,166,107050,9499,,0,E,,0,0,0,N,0,0,0,0,0,,0,,0,0000,DV43,,, 
 01,T48944,B,A,2,D, 3930011580849,,,N,,,302,102,5,101,27100,1801,,0,C,,118,0,0,N,0,0,0,0,0,,124,,0,0000,6000K,,, 
 01,T49096,D,A,2,D, 3930011727892,,,N,,,152,63,5,91,10915,505,,0,B,,34,0,0,N,0,0,0,0,0,,0,,0,0000,6000 LB,,, 
 01,T49119,B,A,1,D, 3930010543833,,,N,,,343,101,5,131,36315,2627,,0,C,,216,16,0,N,0,0,0,0,0,,108,,22,0038,M-10A,,, 
