ORG_ID,TI_ID,UNIT_IDENTIFIER,UNIT_EQUIPMENT_QTY
127-DASB,S70243,WJEQAA,1
127-DASB,R11154,WJEQAA,1
127-DASB,R50681,WJEQAA,1
127-DASB,F43003,WJEQAA,1
127-DASB,K24931,WJEQAA,1
127-DASB,E70338,WJEQAA,1
127-DASB,X57271,WJEQAA,1
127-DASB,Y48323,WJEQAA,1
127-DASB,C36151,WJEQAA,1
127-DASB,X62237,WJEQAA,1
127-DASB,G34805,WJEQAA,1
127-DASB,G42170,WJEQAA,1
127-DASB,L76556,WJEQAA,1
127-DASB,T96838,WJEQAA,1
127-DASB,T96883,WJEQAA,1
127-DASB,T10275,WJEQAA,1
127-DASB,C32887,WJEQAA,2
127-DASB,L28351,WJEQAA,2
127-DASB,X40931,WJEQAA,2
127-DASB,T58161,WJEQAA,2
127-DASB,T49255,WJEQAA,2
127-DASB,G38140,WJEQAA,2
127-DASB,X63299,WJEQAA,2
127-DASB,J35492,WJEQAA,2
127-DASB,T61103,WJEQAA,2
127-DASB,T63093,WJEQAA,2
127-DASB,P97051,WJEQAA,2
127-DASB,P44627,WJEQAA,2
127-DASB,T45465,WJEQAA,2
127-DASB,X40146,WJEQAA,3
127-DASB,S70517,WJEQAA,3
127-DASB,T48944,WJEQAA,3
127-DASB,S73372,WJEQAA,3
127-DASB,X23227,WJEQAA,3
127-DASB,W93995,WJEQAA,3
127-DASB,X40831,WJEQAA,3
127-DASB,T59278,WJEQAA,3
127-DASB,S30982,WJEQAA,3
127-DASB,T49119,WJEQAA,3
127-DASB,W98825,WJEQAA,4
127-DASB,S74832,WJEQAA,6
127-DASB,G34815,WJEQAA,7
127-DASB,X59463,WJEQAA,7
127-DASB,J36383,WJEQAA,8
127-DASB,X62340,WJEQAA,8
127-DASB,G78306,WJEQAA,8
127-DASB,T87243,WJEQAA,10
127-DASB,H01855,WJEQAA,10
127-DASB,S70027,WJEQAA,13
127-DASB,S75175,WJEQAA,16
127-DASB,W95537,WJEQAA,19
127-DASB,X40794,WJEQAA,20
127-DASB,W95811,WJEQAA,21
127-DASB,X40009,WJEQAA,24
127-DASB,X59326,WJEQAA,35
127-DASB,T61494,WJEQAA,37
130-ENGBDE,X40146,WHDLAA,1
130-ENGBDE,W98825,WHDLAA,1
130-ENGBDE,X62237,WHDLAA,1
130-ENGBDE,L28351,WHDLAA,1
130-ENGBDE,J35492,WHDLAA,1
130-ENGBDE,C32887,WHDLAA,1
130-ENGBDE,W95537,WHDLAA,3
130-ENGBDE,W95811,WHDLAA,3
130-ENGBDE,X40009,WHDLAA,4
130-ENGBDE,T61494,WHDLAA,23
141-SIGBN,Z71517,WAPEAA,1
141-SIGBN,G40744,WAPEAA,1
141-SIGBN,J35492,WAPEAA,1
141-SIGBN,Z24079,WAPEAA,1
141-SIGBN,L28351,WAPEAA,2
141-SIGBN,K28601,WAPEAA,3
141-SIGBN,X63299,WAPEAA,3
141-SIGBN,S37228,WAPEAA,4
141-SIGBN,S47921,WAPEAA,4
141-SIGBN,X40794,WAPEAA,4
141-SIGBN,X40146,WAPEAA,4
141-SIGBN,C32887,WAPEAA,4
141-SIGBN,T96883,WAPEAA,4
141-SIGBN,M04268,WAPEAA,5
141-SIGBN,W98825,WAPEAA,5
141-SIGBN,T07679,WAPEAA,7
141-SIGBN,W95811,WAPEAA,8
141-SIGBN,Z12353,WAPEAA,12
141-SIGBN,X40009,WAPEAA,13
141-SIGBN,L69442,WAPEAA,16
141-SIGBN,L69306,WAPEAA,21
141-SIGBN,G42170,WAPEAA,28
141-SIGBN,T61562,WAPEAA,29
141-SIGBN,T61494,WAPEAA,40
141-SIGBN,G42238,WAPEAA,47
