TID_ID,TI_ID,SHPPNG_CNFGRTN_CD,CGO_TP_CD,CGO_XTNT_CD,CGO_CNTZN_CD,MATERIEL_ITEM_IDENTIFIER,TYPE_PACK_CODE,TID_RDBL_CD,TID_LG_DM,TID_WDTH_DM,TID_EQ_TY_CD,TID_HT_DM,TID_WT,TID_VL,TID_CGO_CPCTY_QY,TID_MAX_LDED_HT_DM,TID_HVY_LFT_CD,TID_AR_CGO_LD_CD,TID_CB_DM,TID_MN_GND_CLNC_DM,TID_FTPRNT_AR,TID_PLZTN_CD,TID_CGO_CMPT_LG_DM,TID_CGO_CMPT_WD_DM,TID_CGO_CMPT_HT_DM,TID_CGOCMPBD_HT_DM,TID_CGO_BED_HT_DM,TID_WHL_BS_DM,TID_EMTY_LD_CLS_ID,TID_LDED_LD_CLS_ID,TID_MDL_ID,BLANK
1,T30377,B,R,2,B,4.94E+12,\N,R,151,79,6,76,2860,525,\N,0,A,\N,99,0,0,N,0,0,0,0,0,0,2,2,ADC 1000,
1,T33786,D,A,2,D,2.42E+12,\N,N,211,94,5,99,15850,1137,\N,0,B,\N,103,17,0,N,0,0,0,0,0,0,0,0,HMMH,
1,T38844,D,R,2,D,2.31E+12,\N,R,204,86,3,101,7500,1026,\N,0,A,\N,95,16,150,N,0,0,0,0,0,130,3,4,M997,
1,T39518,B,R,1,D,2.32E+12,\N,R,401,140,4,112,38800,3639,\N,112,C,\N,210,16,507,N,216,90,45,67,67,210,23,35,M977 WWN,
1,T39586,B,R,1,D,2.32E+12,\N,R,400,140,4,112,39420,3630,\N,112,C,\N,214,16,518,N,216,92,45,67,67,210,23,35,M985,
1,T39654,B,R,1,D,2.32E+12,\N,R,400,140,4,112,40220,3630,\N,112,C,\N,0,16,518,N,216,92,45,67,67,210,17,35,M985 WWN,
1,T40999,B,R,1,D,2.32E+12,\N,R,431,106,4,128,49960,3385,\N,128,K,\N,196,41,721,N,227,90,61,67,67,224,29,49,M1075,
1,T41067,B,R,1,D,2.32E+12,\N,R,431,106,4,128,55010,3385,\N,128,K,\N,193,41,721,N,227,90,61,67,67,224,32,52,M1074,
1,T41135,B,R,1,D,2.32E+12,\N,R,278,96,4,112,23463,1730,\N,112,C,\N,127,0,454,N,168,88,53,59,59,0,14,20,M1083 W/WN,
1,T42725,B,R,1,D,3.90E+12,\N,R,375,108,8,142,37540,3329,\N,0,C,\N,0,12,0,N,0,0,0,0,0,211,45,22,M919,
1,T45465,B,R,2,D,2.33E+12,\N,R,266,96,7,66,8060,976,\N,66,A,\N,134,0,264,N,206,92,24,45,45,86,5,18,M989 (HEMAT),
1,T48941,B,A,0,D,3.93E+12,\N,N,412,240,5,166,107050,9499,\N,0,E,\N,0,0,0,N,0,0,0,0,0,0,0,0,DV43,
1,T48944,B,A,2,D,3.93E+12,\N,N,302,102,5,101,27100,1801,\N,0,C,\N,118,0,0,N,0,0,0,0,0,124,0,0,6000K,
1,T49096,D,A,2,D,3.93E+12,\N,N,152,63,5,91,10915,505,\N,0,B,\N,34,0,0,N,0,0,0,0,0,0,0,0,6000 LB,
1,T49119,B,A,1,D,3.93E+12,\N,N,343,101,5,131,36315,2627,\N,0,C,\N,216,16,0,N,0,0,0,0,0,108,22,38,M-10A,
1,T49255,B,A,2,B,3.93E+12,\N,N,206,79,5,80,9700,754,\N,0,A,\N,108,0,0,N,0,0,0,0,0,0,0,0,M4K,
1,T58161,B,R,1,D,2.32E+12,\N,R,401,140,4,112,38165,3639,\N,0,C,\N,193,13,0,N,0,0,0,0,0,210,22,33,M978 WWN,
1,T59048,B,R,1,D,2.32E+12,\N,R,362,144,4,141,40999,4254,\N,0,C,\N,0,0,0,N,0,0,0,0,0,0,24,24,M1070,
1,T59278,B,R,1,D,2.32E+12,\N,R,401,140,4,112,38800,3639,\N,112,C,\N,210,0,507,N,216,90,45,67,67,210,23,35,M977 WOWN,
1,T60081,B,R,1,D,2.32E+12,\N,R,255,96,3,112,19351,1587,\N,112,C,\N,90,0,450,N,147,88,60,52,52,0,12,15,M1078 WO/WN,
1,T60149,B,R,1,D,2.32E+12,\N,R,255,96,3,112,20273,1587,\N,112,C,\N,91,0,450,N,147,88,60,52,52,0,12,15,M1078 W/WN,
